breakdown step partitionid runtime
InitialComputation 0 264 585
WorkStealingComputation 0 264 1325
InitialComputation 0 265 527
WorkStealingComputation 0 265 1348
InitialComputation 0 266 510
WorkStealingComputation 0 266 1478
InitialComputation 0 267 908
WorkStealingComputation 0 267 1061
InitialComputation 0 268 859
WorkStealingComputation 0 268 1065
InitialComputation 0 269 751
WorkStealingComputation 0 269 1320
InitialComputation 0 270 457
WorkStealingComputation 0 270 1463
InitialComputation 0 271 888
WorkStealingComputation 0 271 1106
InitialComputation 0 272 562
WorkStealingComputation 0 272 1475
InitialComputation 0 273 486
WorkStealingComputation 0 273 1498
InitialComputation 0 274 480
WorkStealingComputation 0 274 1419
InitialComputation 0 275 524
WorkStealingComputation 0 275 1349
InitialComputation 0 276 561
WorkStealingComputation 0 276 1417
InitialComputation 0 277 738
WorkStealingComputation 0 277 1055
InitialComputation 0 278 792
WorkStealingComputation 0 278 1139
InitialComputation 0 279 829
WorkStealingComputation 0 279 1264
InitialComputation 1 0 467
WorkStealingComputation 1 0 980
InitialComputation 1 1 569
WorkStealingComputation 1 1 868
InitialComputation 1 2 574
WorkStealingComputation 1 2 828
InitialComputation 1 3 468
WorkStealingComputation 1 3 937
InitialComputation 1 4 520
WorkStealingComputation 1 4 843
InitialComputation 1 5 421
WorkStealingComputation 1 5 958
InitialComputation 1 6 369
WorkStealingComputation 1 6 915
InitialComputation 1 7 386
WorkStealingComputation 1 7 954
InitialComputation 1 8 388
WorkStealingComputation 1 8 1009
InitialComputation 1 9 441
WorkStealingComputation 1 9 954
InitialComputation 1 10 440
WorkStealingComputation 1 10 985
InitialComputation 1 11 369
WorkStealingComputation 1 11 823
InitialComputation 1 12 511
WorkStealingComputation 1 12 860
InitialComputation 1 13 465
WorkStealingComputation 1 13 931
InitialComputation 1 14 525
WorkStealingComputation 1 14 841
InitialComputation 1 15 437
WorkStealingComputation 1 15 954
InitialComputation 1 16 410
WorkStealingComputation 1 16 976
InitialComputation 1 17 438
WorkStealingComputation 1 17 949
InitialComputation 1 18 415
WorkStealingComputation 1 18 992
InitialComputation 1 19 452
WorkStealingComputation 1 19 960
InitialComputation 1 20 479
WorkStealingComputation 1 20 954
InitialComputation 1 21 379
WorkStealingComputation 1 21 796
InitialComputation 1 22 553
WorkStealingComputation 1 22 850
InitialComputation 1 23 425
WorkStealingComputation 1 23 919
InitialComputation 1 24 496
WorkStealingComputation 1 24 891
InitialComputation 1 25 383
WorkStealingComputation 1 25 981
InitialComputation 1 26 318
WorkStealingComputation 1 26 922
InitialComputation 1 27 422
WorkStealingComputation 1 27 907
InitialComputation 1 28 402
WorkStealingComputation 1 28 995
InitialComputation 1 29 453
WorkStealingComputation 1 29 948
InitialComputation 1 30 420
WorkStealingComputation 1 30 1015
InitialComputation 1 31 353
WorkStealingComputation 1 31 824
InitialComputation 1 32 551
WorkStealingComputation 1 32 847
InitialComputation 1 33 444
WorkStealingComputation 1 33 933
InitialComputation 1 34 572
WorkStealingComputation 1 34 777
InitialComputation 1 35 435
WorkStealingComputation 1 35 949
InitialComputation 1 36 401
WorkStealingComputation 1 36 919
InitialComputation 1 37 393
WorkStealingComputation 1 37 913
InitialComputation 1 38 386
WorkStealingComputation 1 38 949
InitialComputation 1 39 472
WorkStealingComputation 1 39 916
InitialComputation 1 40 427
WorkStealingComputation 1 40 1009
InitialComputation 1 41 341
WorkStealingComputation 1 41 866
InitialComputation 1 42 595
WorkStealingComputation 1 42 843
InitialComputation 1 43 455
WorkStealingComputation 1 43 902
InitialComputation 1 44 500
WorkStealingComputation 1 44 861
InitialComputation 1 45 435
WorkStealingComputation 1 45 953
InitialComputation 1 46 381
WorkStealingComputation 1 46 884
InitialComputation 1 47 415
WorkStealingComputation 1 47 890
InitialComputation 1 48 402
WorkStealingComputation 1 48 986
InitialComputation 1 49 471
WorkStealingComputation 1 49 916
InitialComputation 1 50 455
WorkStealingComputation 1 50 979
InitialComputation 1 51 370
WorkStealingComputation 1 51 810
InitialComputation 1 52 568
WorkStealingComputation 1 52 831
InitialComputation 1 53 489
WorkStealingComputation 1 53 915
InitialComputation 1 54 544
WorkStealingComputation 1 54 816
InitialComputation 1 55 422
WorkStealingComputation 1 55 952
InitialComputation 1 56 299
WorkStealingComputation 1 56 924
InitialComputation 1 57 405
WorkStealingComputation 1 57 917
InitialComputation 1 58 390
WorkStealingComputation 1 58 1004
InitialComputation 1 59 425
WorkStealingComputation 1 59 943
InitialComputation 1 60 364
WorkStealingComputation 1 60 1071
InitialComputation 1 61 368
WorkStealingComputation 1 61 822
InitialComputation 1 62 550
WorkStealingComputation 1 62 842
InitialComputation 1 63 473
WorkStealingComputation 1 63 922
InitialComputation 1 64 554
WorkStealingComputation 1 64 809
InitialComputation 1 65 430
