breakdown step partitionid runtime
WorkStealingComputation 1 113 701
InitialComputation 1 114 337
WorkStealingComputation 1 114 675
InitialComputation 1 115 530
WorkStealingComputation 1 115 557
InitialComputation 1 116 423
WorkStealingComputation 1 116 633
InitialComputation 1 117 476
WorkStealingComputation 1 117 692
InitialComputation 1 118 467
WorkStealingComputation 1 118 689
InitialComputation 1 119 589
WorkStealingComputation 1 119 777
InitialComputation 1 120 513
WorkStealingComputation 1 120 702
InitialComputation 1 121 491
WorkStealingComputation 1 121 648
InitialComputation 1 122 421
WorkStealingComputation 1 122 686
InitialComputation 1 123 441
WorkStealingComputation 1 123 702
InitialComputation 1 124 340
WorkStealingComputation 1 124 687
InitialComputation 1 125 444
WorkStealingComputation 1 125 641
InitialComputation 1 126 421
WorkStealingComputation 1 126 643
InitialComputation 1 127 482
WorkStealingComputation 1 127 680
InitialComputation 1 128 439
WorkStealingComputation 1 128 715
InitialComputation 1 129 582
WorkStealingComputation 1 129 778
InitialComputation 1 130 526
WorkStealingComputation 1 130 694
InitialComputation 1 131 592
WorkStealingComputation 1 131 541
InitialComputation 1 132 411
WorkStealingComputation 1 132 694
InitialComputation 1 133 415
WorkStealingComputation 1 133 721
InitialComputation 1 134 343
WorkStealingComputation 1 134 671
InitialComputation 1 135 492
WorkStealingComputation 1 135 588
InitialComputation 1 136 425
WorkStealingComputation 1 136 639
InitialComputation 1 137 758
WorkStealingComputation 1 137 409
InitialComputation 1 138 750
WorkStealingComputation 1 138 402
InitialComputation 1 139 1026
WorkStealingComputation 1 139 336
InitialComputation 1 140 798
WorkStealingComputation 1 140 427
InitialComputation 1 141 822
WorkStealingComputation 1 141 327
InitialComputation 1 142 686
WorkStealingComputation 1 142 385
InitialComputation 1 143 766
WorkStealingComputation 1 143 363
InitialComputation 1 144 673
WorkStealingComputation 1 144 352
InitialComputation 1 145 710
WorkStealingComputation 1 145 345
InitialComputation 1 146 710
WorkStealingComputation 1 146 350
InitialComputation 1 147 859
WorkStealingComputation 1 147 301
InitialComputation 1 148 1103
WorkStealingComputation 1 148 46
InitialComputation 1 149 1264
WorkStealingComputation 1 149 99
InitialComputation 1 150 1209
WorkStealingComputation 1 150 18
InitialComputation 1 151 1128
WorkStealingComputation 1 151 9
InitialComputation 1 152 907
WorkStealingComputation 1 152 200
InitialComputation 1 153 1079
WorkStealingComputation 1 153 54
InitialComputation 1 154 889
WorkStealingComputation 1 154 133
InitialComputation 1 155 857
WorkStealingComputation 1 155 226
InitialComputation 1 156 1059
WorkStealingComputation 1 156 1
InitialComputation 1 157 858
WorkStealingComputation 1 157 340
InitialComputation 1 158 1078
WorkStealingComputation 1 158 74
InitialComputation 1 159 1349
WorkStealingComputation 1 159 1
InitialComputation 1 160 1221
WorkStealingComputation 1 160 0
InitialComputation 1 161 698
WorkStealingComputation 1 161 451
InitialComputation 1 162 721
WorkStealingComputation 1 162 395
InitialComputation 1 163 1004
WorkStealingComputation 1 163 140
InitialComputation 1 164 966
WorkStealingComputation 1 164 55
InitialComputation 1 165 906
WorkStealingComputation 1 165 174
InitialComputation 1 166 993
WorkStealingComputation 1 166 75
InitialComputation 1 167 943
WorkStealingComputation 1 167 253
InitialComputation 1 168 1129
WorkStealingComputation 1 168 20
InitialComputation 1 169 1329
WorkStealingComputation 1 169 25
InitialComputation 1 170 1102
WorkStealingComputation 1 170 132
InitialComputation 1 171 796
WorkStealingComputation 1 171 352
InitialComputation 1 172 1013
WorkStealingComputation 1 172 60
InitialComputation 1 173 1114
WorkStealingComputation 1 173 19
InitialComputation 1 174 996
WorkStealingComputation 1 174 23
InitialComputation 1 175 620
WorkStealingComputation 1 175 472
InitialComputation 1 176 637
WorkStealingComputation 1 176 446
InitialComputation 1 177 1166
WorkStealingComputation 1 177 0
InitialComputation 1 178 1021
WorkStealingComputation 1 178 146
InitialComputation 1 179 1291
WorkStealingComputation 1 179 64
InitialComputation 1 180 1202
WorkStealingComputation 1 180 26
InitialComputation 1 181 1057
WorkStealingComputation 1 181 88
InitialComputation 1 182 1068
WorkStealingComputation 1 182 0
InitialComputation 1 183 884
