mode breakdown step partitionid runtime
4.Internal+External WorkStealingComputation 0 226 1347
4.Internal+External InitialComputation 0 227 552
4.Internal+External WorkStealingComputation 0 227 1159
4.Internal+External InitialComputation 0 228 730
4.Internal+External WorkStealingComputation 0 228 1203
4.Internal+External InitialComputation 0 229 895
4.Internal+External WorkStealingComputation 0 229 1272
4.Internal+External InitialComputation 0 230 423
4.Internal+External WorkStealingComputation 0 230 1480
4.Internal+External InitialComputation 0 231 831
4.Internal+External WorkStealingComputation 0 231 1108
4.Internal+External InitialComputation 0 232 566
4.Internal+External WorkStealingComputation 0 232 1460
4.Internal+External InitialComputation 0 233 588
4.Internal+External WorkStealingComputation 0 233 1399
4.Internal+External InitialComputation 0 234 661
4.Internal+External WorkStealingComputation 0 234 1306
4.Internal+External InitialComputation 0 235 493
4.Internal+External WorkStealingComputation 0 235 1386
4.Internal+External InitialComputation 0 236 598
4.Internal+External WorkStealingComputation 0 236 1382
4.Internal+External InitialComputation 0 237 749
4.Internal+External WorkStealingComputation 0 237 1026
4.Internal+External InitialComputation 0 238 837
4.Internal+External WorkStealingComputation 0 238 1091
4.Internal+External InitialComputation 0 239 826
4.Internal+External WorkStealingComputation 0 239 1268
4.Internal+External InitialComputation 0 240 442
4.Internal+External WorkStealingComputation 0 240 1451
4.Internal+External InitialComputation 0 241 884
4.Internal+External WorkStealingComputation 0 241 1110
4.Internal+External InitialComputation 0 242 518
4.Internal+External WorkStealingComputation 0 242 1524
4.Internal+External InitialComputation 0 243 473
4.Internal+External WorkStealingComputation 0 243 1490
4.Internal+External InitialComputation 0 244 543
4.Internal+External WorkStealingComputation 0 244 1367
4.Internal+External InitialComputation 0 245 535
4.Internal+External WorkStealingComputation 0 245 1356
4.Internal+External InitialComputation 0 246 590
4.Internal+External WorkStealingComputation 0 246 1388
4.Internal+External InitialComputation 0 247 636
4.Internal+External WorkStealingComputation 0 247 1083
4.Internal+External InitialComputation 0 248 915
4.Internal+External WorkStealingComputation 0 248 1089
4.Internal+External InitialComputation 0 249 886
4.Internal+External WorkStealingComputation 0 249 1234
4.Internal+External InitialComputation 0 250 413
4.Internal+External WorkStealingComputation 0 250 1475
4.Internal+External InitialComputation 0 251 834
4.Internal+External WorkStealingComputation 0 251 1126
4.Internal+External InitialComputation 0 252 584
4.Internal+External WorkStealingComputation 0 252 1442
4.Internal+External InitialComputation 0 253 439
4.Internal+External WorkStealingComputation 0 253 1524
4.Internal+External InitialComputation 0 254 585
4.Internal+External WorkStealingComputation 0 254 1323
4.Internal+External InitialComputation 0 255 428
4.Internal+External WorkStealingComputation 0 255 1455
4.Internal+External InitialComputation 0 256 625
4.Internal+External WorkStealingComputation 0 256 1348
4.Internal+External InitialComputation 0 257 700
4.Internal+External WorkStealingComputation 0 257 1017
4.Internal+External InitialComputation 0 258 796
4.Internal+External WorkStealingComputation 0 258 1120
4.Internal+External InitialComputation 0 259 873
4.Internal+External WorkStealingComputation 0 259 1283
4.Internal+External InitialComputation 0 260 419
4.Internal+External WorkStealingComputation 0 260 1481
4.Internal+External InitialComputation 0 261 804
4.Internal+External WorkStealingComputation 0 261 1162
4.Internal+External InitialComputation 0 262 671
4.Internal+External WorkStealingComputation 0 262 1455
4.Internal+External InitialComputation 0 263 497
4.Internal+External WorkStealingComputation 0 263 1492
4.Internal+External InitialComputation 0 264 585
4.Internal+External WorkStealingComputation 0 264 1325
4.Internal+External InitialComputation 0 265 527
4.Internal+External WorkStealingComputation 0 265 1348
4.Internal+External InitialComputation 0 266 510
4.Internal+External WorkStealingComputation 0 266 1478
4.Internal+External InitialComputation 0 267 908
4.Internal+External WorkStealingComputation 0 267 1061
4.Internal+External InitialComputation 0 268 859
4.Internal+External WorkStealingComputation 0 268 1065
4.Internal+External InitialComputation 0 269 751
4.Internal+External WorkStealingComputation 0 269 1320
4.Internal+External InitialComputation 0 270 457
4.Internal+External WorkStealingComputation 0 270 1463
4.Internal+External InitialComputation 0 271 888
4.Internal+External WorkStealingComputation 0 271 1106
4.Internal+External InitialComputation 0 272 562
4.Internal+External WorkStealingComputation 0 272 1475
4.Internal+External InitialComputation 0 273 486
4.Internal+External WorkStealingComputation 0 273 1498
4.Internal+External InitialComputation 0 274 480
4.Internal+External WorkStealingComputation 0 274 1419
4.Internal+External InitialComputation 0 275 524
4.Internal+External WorkStealingComputation 0 275 1349
4.Internal+External InitialComputation 0 276 561
4.Internal+External WorkStealingComputation 0 276 1417
4.Internal+External InitialComputation 0 277 738
4.Internal+External WorkStealingComputation 0 277 1055
4.Internal+External InitialComputation 0 278 792
4.Internal+External WorkStealingComputation 0 278 1139
4.Internal+External InitialComputation 0 279 829
4.Internal+External WorkStealingComputation 0 279 1264
4.Internal+External InitialComputation 1 0 467
4.Internal+External WorkStealingComputation 1 0 980
4.Internal+External InitialComputation 1 1 569
4.Internal+External WorkStealingComputation 1 1 868
4.Internal+External InitialComputation 1 2 574
4.Internal+External WorkStealingComputation 1 2 828
4.Internal+External InitialComputation 1 3 468
4.Internal+External WorkStealingComputation 1 3 937
4.Internal+External InitialComputation 1 4 520
4.Internal+External WorkStealingComputation 1 4 843
4.Internal+External InitialComputation 1 5 421
4.Internal+External WorkStealingComputation 1 5 958
4.Internal+External InitialComputation 1 6 369
4.Internal+External WorkStealingComputation 1 6 915
4.Internal+External InitialComputation 1 7 386
4.Internal+External WorkStealingComputation 1 7 954
4.Internal+External InitialComputation 1 8 388
4.Internal+External WorkStealingComputation 1 8 1009
4.Internal+External InitialComputation 1 9 441
4.Internal+External WorkStealingComputation 1 9 954
4.Internal+External InitialComputation 1 10 440
4.Internal+External WorkStealingComputation 1 10 985
4.Internal+External InitialComputation 1 11 369
4.Internal+External WorkStealingComputation 1 11 823
4.Internal+External InitialComputation 1 12 511
4.Internal+External WorkStealingComputation 1 12 860
4.Internal+External InitialComputation 1 13 465
4.Internal+External WorkStealingComputation 1 13 931
4.Internal+External InitialComputation 1 14 525
4.Internal+External WorkStealingComputation 1 14 841
4.Internal+External InitialComputation 1 15 437
4.Internal+External WorkStealingComputation 1 15 954
4.Internal+External InitialComputation 1 16 410
4.Internal+External WorkStealingComputation 1 16 976
4.Internal+External InitialComputation 1 17 438
4.Internal+External WorkStealingComputation 1 17 949
4.Internal+External InitialComputation 1 18 415
