breakdown step partitionid runtime
WorkStealingComputation 0 230 2733
InitialComputation 0 231 1063
WorkStealingComputation 0 231 2236
InitialComputation 0 232 556
WorkStealingComputation 0 232 2750
InitialComputation 0 233 925
WorkStealingComputation 0 233 2182
InitialComputation 0 234 792
WorkStealingComputation 0 234 2438
InitialComputation 0 235 734
WorkStealingComputation 0 235 2252
InitialComputation 0 236 860
WorkStealingComputation 0 236 1835
InitialComputation 0 237 1254
WorkStealingComputation 0 237 2137
InitialComputation 0 238 429
WorkStealingComputation 0 238 2704
InitialComputation 0 239 431
WorkStealingComputation 0 239 2832
InitialComputation 0 240 559
WorkStealingComputation 0 240 2739
InitialComputation 0 241 956
WorkStealingComputation 0 241 2285
InitialComputation 0 242 549
WorkStealingComputation 0 242 2764
InitialComputation 0 243 924
WorkStealingComputation 0 243 2183
InitialComputation 0 244 690
WorkStealingComputation 0 244 2395
InitialComputation 0 245 771
WorkStealingComputation 0 245 2284
InitialComputation 0 246 825
WorkStealingComputation 0 246 1864
InitialComputation 0 247 1188
WorkStealingComputation 0 247 2152
InitialComputation 0 248 578
WorkStealingComputation 0 248 2593
InitialComputation 0 249 447
WorkStealingComputation 0 249 2897
InitialComputation 0 250 527
WorkStealingComputation 0 250 2732
InitialComputation 0 251 968
WorkStealingComputation 0 251 2285
InitialComputation 0 252 502
WorkStealingComputation 0 252 2763
InitialComputation 0 253 968
WorkStealingComputation 0 253 2138
InitialComputation 0 254 808
WorkStealingComputation 0 254 2410
InitialComputation 0 255 870
WorkStealingComputation 0 255 2254
InitialComputation 0 256 946
WorkStealingComputation 0 256 1871
InitialComputation 0 257 1111
WorkStealingComputation 0 257 2174
InitialComputation 0 258 418
WorkStealingComputation 0 258 2726
InitialComputation 0 259 401
WorkStealingComputation 0 259 2897
InitialComputation 0 260 533
WorkStealingComputation 0 260 2724
InitialComputation 0 261 964
WorkStealingComputation 0 261 2229
InitialComputation 0 262 522
WorkStealingComputation 0 262 2740
InitialComputation 0 263 941
WorkStealingComputation 0 263 2165
InitialComputation 0 264 457
WorkStealingComputation 0 264 2569
InitialComputation 0 265 861
WorkStealingComputation 0 265 2264
InitialComputation 0 266 717
WorkStealingComputation 0 266 2085
InitialComputation 0 267 1156
WorkStealingComputation 0 267 2158
InitialComputation 0 268 585
WorkStealingComputation 0 268 2631
InitialComputation 0 269 432
WorkStealingComputation 0 269 2831
InitialComputation 0 270 421
WorkStealingComputation 0 270 2812
InitialComputation 0 271 950
WorkStealingComputation 0 271 2286
InitialComputation 0 272 476
WorkStealingComputation 0 272 2776
InitialComputation 0 273 971
WorkStealingComputation 0 273 2137
InitialComputation 0 274 687
WorkStealingComputation 0 274 2388
InitialComputation 0 275 846
WorkStealingComputation 0 275 2278
InitialComputation 0 276 987
