sys alg graph depth mem
arabesque motifs youtube 4 16.922945864498615
arabesque motifs youtube 4 16.935922406613827
arabesque motifs youtube 4 17.05938895046711
arabesque motifs youtube 4 17.07104440778494
arabesque motifs youtube 4 17.119326308369637
arabesque motifs youtube 4 17.126857727766037
arabesque motifs youtube 4 17.15819737315178
arabesque motifs youtube 4 17.209692306816578
arabesque motifs youtube 4 17.215772598981857
arabesque motifs youtube 4 17.24241752922535
arabesque motifs youtube 4 17.28929253667593
arabesque motifs youtube 4 17.294777274131775
arabesque motifs youtube 4 17.30540207773447
arabesque motifs youtube 4 17.355439379811287
arabesque motifs youtube 4 17.387738659977913
arabesque motifs youtube 4 17.39866752922535
arabesque motifs youtube 4 17.418692357838154
arabesque motifs youtube 4 17.418860495090485
arabesque motifs youtube 4 17.422936350107193
arabesque motifs youtube 4 17.477708108723164
arabesque motifs youtube 4 17.52833517640829
arabesque motifs youtube 4 17.56140498816967
arabesque motifs youtube 4 17.592174530029297
arabesque motifs youtube 4 17.608339227735996
arabesque motifs youtube 4 17.62877158075571
arabesque motifs youtube 4 17.653353922069073
arabesque motifs youtube 4 17.660841695964336
arabesque motifs youtube 4 17.678035341203213
arabesque motifs youtube 4 17.708387702703476
arabesque motifs youtube 4 17.70914101600647
arabesque motifs youtube 4 17.7100270986557
arabesque motifs youtube 4 17.727280370891094
arabesque motifs youtube 4 17.762681864202023
arabesque motifs youtube 4 17.78292215615511
arabesque motifs youtube 4 17.808396831154823
arabesque motifs youtube 4 17.832986377179623
arabesque motifs youtube 4 17.8878024071455
arabesque motifs youtube 4 17.89170305430889
arabesque motifs youtube 4 17.923868015408516
arabesque motifs youtube 4 17.92961174994707
arabesque motifs youtube 4 17.942350797355175
arabesque motifs youtube 4 17.942464090883732
arabesque motifs youtube 4 17.983392097055912
arabesque motifs youtube 4 17.996886521577835
arabesque motifs youtube 4 18.01006320118904
arabesque motifs youtube 4 18.03929253667593
arabesque motifs youtube 4 18.06442402303219
arabesque motifs youtube 4 18.108351297676563
arabesque motifs youtube 4 18.121886521577835
arabesque motifs youtube 4 18.177418634295464
arabesque motifs youtube 4 18.18391191214323
arabesque motifs youtube 4 18.246886551380157
arabesque motifs youtube 4 18.258174680173397
arabesque motifs youtube 4 18.279682748019695
arabesque motifs youtube 4 18.2865197211504
arabesque motifs youtube 4 18.297283567488194
arabesque motifs youtube 4 18.2990997210145
arabesque motifs youtube 4 18.316130451858044
arabesque motifs youtube 4 18.340641394257545
arabesque motifs youtube 4 18.376900404691696
arabesque motifs youtube 4 18.3830444291234
arabesque motifs youtube 4 18.38737128674984
arabesque motifs youtube 4 18.46287901699543
arabesque motifs youtube 4 18.465651594102383
arabesque motifs youtube 4 18.48687820136547
arabesque motifs youtube 4 18.501842483878136
arabesque motifs youtube 4 18.516078308224678
arabesque motifs youtube 4 18.54317132383585
arabesque motifs youtube 4 18.574761897325516
arabesque motifs youtube 4 18.590634614229202
arabesque motifs youtube 4 18.620584219694138
arabesque motifs youtube 4 18.662771873176098
arabesque motifs youtube 4 18.69993019849062
arabesque motifs youtube 4 18.70026821643114
arabesque motifs youtube 4 18.708875365555286
arabesque motifs youtube 4 18.713176302611828
arabesque motifs youtube 4 18.745541103184223
arabesque motifs youtube 4 18.748679779469967
arabesque motifs youtube 4 18.81292962282896
arabesque motifs youtube 4 18.825238220393658
arabesque motifs youtube 4 18.85179253667593
arabesque motifs youtube 4 18.85357467085123
arabesque motifs youtube 4 18.856312356889248
arabesque motifs youtube 4 18.861692860722542
arabesque motifs youtube 4 18.864231675863266
arabesque motifs youtube 4 18.883203521370888
arabesque motifs youtube 4 18.887213923037052
arabesque motifs youtube 4 18.905153028666973
arabesque motifs youtube 4 18.939414210617542
arabesque motifs youtube 4 18.979250006377697
arabesque motifs youtube 4 18.98280155658722
arabesque motifs youtube 4 19.014495015144348
arabesque motifs youtube 4 19.02369310706854
arabesque motifs youtube 4 19.02417680621147
arabesque motifs youtube 4 19.06424830853939
arabesque motifs youtube 4 19.076251789927483
arabesque motifs youtube 4 19.17751158028841
arabesque motifs youtube 4 19.1957860738039
arabesque motifs youtube 4 19.297251611948013
arabesque motifs youtube 4 19.376958690583706
arabesque motifs youtube 4 19.376995004713535
arabesque motifs youtube 4 19.3830444291234
arabesque motifs youtube 4 19.44496876001358
arabesque motifs youtube 4 19.53929253667593
arabesque motifs youtube 4 19.5458979383111
arabesque motifs youtube 4 19.585085853934288
arabesque motifs youtube 4 19.619448833167553
arabesque motifs youtube 4 19.660984471440315
arabesque motifs youtube 4 19.68307590484619
arabesque motifs youtube 4 19.748428747057915
arabesque motifs youtube 4 19.78431784361601
arabesque motifs youtube 4 19.79328888654709
arabesque motifs youtube 4 19.819647766649723
arabesque motifs youtube 4 19.83042522519827
arabesque motifs youtube 4 19.831353463232517
arabesque motifs youtube 4 19.864223897457123
arabesque motifs youtube 4 20.019257351756096
arabesque motifs youtube 4 20.045887306332588
arabesque motifs youtube 4 20.084689922630787
arabesque motifs youtube 4 20.111045219004154
arabesque motifs youtube 4 20.145473897457123
arabesque motifs youtube 4 20.184269033372402
arabesque motifs youtube 4 20.227049939334393
arabesque motifs youtube 4 20.278069630265236
arabesque motifs youtube 4 20.27847621589899
arabesque motifs youtube 4 20.32054253667593
arabesque motifs youtube 4 20.402146831154823
arabesque motifs youtube 4 20.40830374509096
arabesque motifs youtube 4 20.420809775590897
arabesque motifs youtube 4 20.42991752922535
arabesque motifs youtube 4 20.43595700711012
arabesque motifs youtube 4 20.501079954206944
arabesque motifs youtube 4 20.545747578144073
arabesque motifs youtube 4 20.64590857923031
arabesque motifs youtube 4 20.652164936065674
arabesque motifs youtube 4 20.66458260267973
arabesque motifs youtube 4 20.68040207773447
arabesque motifs youtube 4 20.73252062499523
arabesque motifs youtube 4 20.783170007169247
arabesque motifs youtube 4 20.789513126015663
arabesque motifs youtube 4 20.835853591561317
arabesque motifs youtube 4 20.85542107373476
arabesque motifs youtube 4 20.908241115510464
arabesque motifs youtube 4 20.90825294703245
arabesque motifs youtube 4 20.99292130768299
arabesque motifs youtube 4 21.033110424876213
arabesque motifs youtube 4 21.046204045414925
arabesque motifs youtube 4 21.06290666759014
arabesque motifs youtube 4 21.119186356663704
arabesque motifs youtube 4 21.151792757213116
arabesque motifs youtube 4 21.19365844130516
arabesque motifs youtube 4 21.230983309447765
arabesque motifs youtube 4 21.232795506715775
arabesque motifs youtube 4 21.276824191212654
arabesque motifs youtube 4 21.39547773450613
arabesque motifs youtube 4 21.41828690469265
arabesque motifs youtube 4 21.489924483001232
arabesque motifs youtube 4 21.5080463886261
arabesque motifs youtube 4 21.514663003385067
arabesque motifs youtube 4 21.543429240584373
arabesque motifs youtube 4 21.58464877307415
arabesque motifs youtube 4 21.600809954106808
arabesque motifs youtube 4 21.608551308512688
arabesque motifs youtube 4 21.629964090883732
arabesque motifs youtube 4 21.639531955122948
arabesque motifs youtube 4 21.682167418301105
arabesque motifs youtube 4 21.692131236195564
arabesque motifs youtube 4 21.69942132383585
arabesque motifs youtube 4 21.701988376677036
arabesque motifs youtube 4 21.727137446403503
arabesque motifs youtube 4 21.736324213445187
arabesque motifs youtube 4 21.748128689825535
arabesque motifs youtube 4 21.755748465657234
arabesque motifs youtube 4 21.779146432876587
arabesque motifs youtube 4 21.79369619488716
arabesque motifs youtube 4 21.841057300567627
arabesque motifs youtube 4 21.852048449218273
arabesque motifs youtube 4 21.876068964600563
arabesque motifs youtube 4 21.878630451858044
arabesque motifs youtube 4 21.963125862181187
arabesque motifs youtube 4 21.980439379811287
arabesque motifs youtube 4 22.003376968204975
arabesque motifs youtube 4 22.016003765165806
arabesque motifs youtube 4 22.029685780406
arabesque motifs youtube 4 22.07487713545561
arabesque motifs youtube 4 22.11214216053486
arabesque motifs youtube 4 22.114225804805756
arabesque motifs youtube 4 22.186179779469967
arabesque motifs youtube 4 22.206910237669945
arabesque motifs youtube 4 22.3490197211504
arabesque motifs youtube 4 22.4600270986557
arabesque motifs youtube 4 22.48896859586239
arabesque motifs youtube 4 22.489223897457123
arabesque motifs youtube 4 22.492419436573982
arabesque motifs youtube 4 22.517942860722542
arabesque motifs youtube 4 22.535984471440315
arabesque motifs youtube 4 22.562625102698803
arabesque motifs youtube 4 22.5705444291234
arabesque motifs youtube 4 22.626668319106102
arabesque motifs youtube 4 22.689418099820614
arabesque motifs youtube 4 22.781797036528587
arabesque motifs youtube 4 22.840550921857357
arabesque motifs youtube 4 22.923943795263767
arabesque motifs youtube 4 22.96718280762434
arabesque motifs youtube 4 22.971813894808292
arabesque motifs youtube 4 22.992924064397812
arabesque motifs youtube 4 23.027146831154823
arabesque motifs youtube 4 23.036707423627377
arabesque motifs youtube 4 23.04577612876892
arabesque motifs youtube 4 23.047328308224678
arabesque motifs youtube 4 23.04861742258072
arabesque motifs youtube 4 23.137058526277542
arabesque motifs youtube 4 23.258958108723164
arabesque motifs youtube 4 23.356196276843548
arabesque motifs youtube 4 23.376079954206944
arabesque motifs youtube 4 23.411514602601528
arabesque motifs youtube 4 23.55540207773447
arabesque motifs youtube 4 23.689414210617542
arabesque motifs youtube 4 23.692348890006542
arabesque motifs youtube 4 23.713190101087093
arabesque motifs youtube 4 23.742419436573982
arabesque motifs youtube 4 23.837951570749283
arabesque motifs youtube 4 23.861618667840958
arabesque motifs youtube 4 23.941130451858044
arabesque motifs youtube 4 23.99039101600647
arabesque motifs youtube 4 23.998424492776394
arabesque motifs youtube 4 24.0392944291234
arabesque motifs youtube 4 24.068143025040627
arabesque motifs youtube 4 24.12540666759014
arabesque motifs youtube 4 24.132460854947567
arabesque motifs youtube 4 24.152998186647892
arabesque motifs youtube 4 24.166318096220493
arabesque motifs youtube 4 24.220743022859097
arabesque motifs youtube 4 24.371596850454807
arabesque motifs youtube 4 24.396168634295464
arabesque motifs youtube 4 24.408755101263523
arabesque motifs youtube 4 24.474032506346703
arabesque motifs youtube 4 24.498142063617706
arabesque motifs youtube 4 24.530153028666973
arabesque motifs youtube 4 24.661644481122494
arabesque motifs youtube 4 24.67379505187273
arabesque motifs youtube 4 24.73475755006075
arabesque motifs youtube 4 24.786998465657234
arabesque motifs youtube 4 24.788976691663265
arabesque motifs youtube 4 24.7892944291234
arabesque motifs youtube 4 24.793692357838154
arabesque motifs youtube 4 24.855788841843605
arabesque motifs youtube 4 24.928035341203213
arabesque motifs youtube 4 25.036100797355175
arabesque motifs youtube 4 25.05187675356865
arabesque motifs youtube 4 25.092174492776394
arabesque motifs youtube 4 25.14917130768299
arabesque motifs youtube 4 25.15228822827339
arabesque motifs youtube 4 25.20205195248127
arabesque motifs youtube 4 25.28929253667593
arabesque motifs youtube 4 25.339666917920113
arabesque motifs youtube 4 25.410984471440315
arabesque motifs youtube 4 25.428835853934288
arabesque motifs youtube 4 25.46506178379059
arabesque motifs youtube 4 25.517301097512245
arabesque motifs youtube 4 25.538154765963554
arabesque motifs youtube 4 25.673791110515594
arabesque motifs youtube 4 25.748679779469967
arabesque motifs youtube 4 25.779146432876587
arabesque motifs youtube 4 25.861371852457523
arabesque motifs youtube 4 25.92077612876892
arabesque motifs youtube 4 25.958392821252346
arabesque motifs youtube 4 26.0080463886261
arabesque motifs youtube 4 26.049192860722542
arabesque motifs youtube 4 26.049940794706345
arabesque motifs youtube 4 26.089646831154823
arabesque motifs youtube 4 26.191130451858044
arabesque motifs youtube 4 26.251070871949196
